"","code","Name","Blue","Green","Grey"
"1","020120","Beef cuts bone in, fresh or chilled",388.5973385071,10233.5979075141,320.1208357374
"2","020130","Beef cuts boneless, fresh or chilled",550.1370964889,14413.5181795973,450.8744165316
"3","020220","Beef cuts bone in, frozen",388.5973385071,10233.5979075141,320.1208357374
"4","020230","Beef cuts boneless forzen",550.1370964889,14413.5181795973,450.8744165316
"5","020312","Ham and pork shoulder, fresh or chilled",435.1959722502,4652.2565387724,589.5864002735
"6","020319","Pork cuts, fresh or chilled",459.0423268941,4907.1747052805,621.8925043981
"7","020322","Ham and pork shoulder, frozen",435.1959722502,4652.2565387724,589.5864002735
"8","020329","Pork cuts, frozen",459.0423268941,4907.1747052805,621.8925043981
"9","020422","Sheep cuts, bone in, fresh or chilled",407.6321241642,7850.5613675238,61.0935314029
"10","020423","Sheep cuts, boneless, fresh or chilled",522.0401552052,9813.2017094048,76.3669142536
"11","020442","Sheep cuts, bone in, frozen",407.6321241642,7850.5613675238,61.0935314029
"12","020443","Sheep cuts, boneless, frozen",522.0401552052,9813.2017094048,76.3669142536
"13","020450","Goat mean, fresh, chilled, or frozen",330.1807577341,5184.5641750671,5.777830302
"14","021011","Ham and pork cuts, cured",449.1795635206,4747.2005497678,601.6187757893
"15","040110","Milk (1% or less)",85.5246618964,862.6383247389,72.2724417124
"16","040120","Milk (1-6% fat)",88.3754839596,891.3929355635,74.6815231028
"17","040130","Milk and cream (>6% fat)",159.0758711272,1604.5072840143,134.4267415851
"18","040291","Milk and cream, unsweetened",132.2696924767,1334.1286992763,111.7742347982
"19","040299","Milk and cream sweetened",164.0758711272,1604.5072840143,134.4267415851
"20","040310","Yogurt",99.4224194545,1002.817052509,84.0167134907
"21","040390","Buttermilk",134.0308932526,1351.8929236901,113.2625339343
"22","040410","Whey",54.2254311922,546.9408949964,45.8230904194
"23","040490","Milk products",99.4224194545,1002.817052509,84.0167134907
"24","040510","Butter",465.4472490467,4694.7000580784,393.3252518167
"25","040610","Cheese, fresh",266.3558052889,2686.5785910654,225.0834319091
"26","040620","Cheese, powdered or grated",438.660008395,4264.4104620085,357.2752887446
"27","040630","Cheese, processed",438.660008395,4264.4104620085,357.2752887446
"28","040690","Other cheese",438.660008395,4264.4104620085,357.2752887446
"29","040700","Eggs",243.7732054036,2592.139247199,428.6468436958
"30","040819","Egg yolks",248.7732054036,2592.139247199,428.6468436958
"31","070190","Potatoes",32.9429715158,190.9180574273,63.3275059515
"32","070200","Tomatoes",63.2483213189,107.8746065685,42.6743433559
"33","070200a","Tomato juice, concentrated",316.2416065944,539.3730328423,213.3717167796
"34","070200b","Tomato paste",252.9932852755,431.4984262738,170.6973734237
"35","070200c","Tomato ketchup",158.1208032972,269.6865164211,106.6858583898
"36","070200d","Tomato puree",210.8277377296,359.5820218948,142.2478111864
"37","070200e","Peeled tomatoes",79.0604016486,134.8432582106,53.3429291949
"38","070200f","Tomato, dried",1264.9664263776,2157.492131369,853.4868671183
"39","070310","Onions and shallots, fresh or chilled",44.4998257033,176.3893307861,51.0473825506
"40","070320","Garlic",81.4295249416,337.2630045948,170.3102901121
"41","070320a","Garlic powder",313.1904805446,1297.1654022876,655.0395773543
"42","070410","Cauliflowers and broccoli",21.148856144,189.2867224523,74.671415307
"43","070420","Brussels sprouts, fresh or chilled",21.148856144,189.2867224523,74.671415307
"44","070490","Cabbages, kohlrabi, kale, and other brassicas",26.3655721132,181.1166554193,72.8524877812
"45","070511","Head lettuce",27.8086336905,132.5394753404,76.605974651
"46","070519","Lettuce, fresh or chilled",27.8086336905,132.5394753404,76.605974651
"47","070610","Carrots and turnips",28.1633299,105.7305915833,61.1717776775
"48","070690","Beetroot and radish",15.2827870117,348.0976986521,21.8907258788
"49","070700","Cucumbers and gherkins",42.3179274366,206.4853706273,104.5207782028
"50","070810","Peas, green",62.6019885664,382.006458828,150.4751461214
"51","070820","Beans, green",53.5206701333,319.5389782434,188.039583344
"52","070820_b","String beans",103.7698582929,300.9650322038,142.5342177604
"53","070910","Artichokes",242.4874599695,477.7589271396,97.5212377647
"54","070920","Asparagus",118.7595064615,1523.9990934187,506.931078884
"55","070930","Eggplants (aubergines)",32.7627436212,233.8853172564,95.0752629988
"56","070940","Celery",28.1633299,105.7305915833,61.1717776775
"57","070960","Chillies and peppers, green",42.2406417512,239.7495017954,97.2228565834
"58","070970","Spinach",13.6583677247,118.2856435014,159.9666169267
"59","070990","Other vegetables",32.8298902629,204.5628027725,100.8409347936
"60","070990aa","Olives",498.9157745647,2470.4261704688,45.2607019551
"61","070990_b","Pumpkins, squash and gourds",23.6645871724,228.2062834383,84.4110831912
"62","070990ca","Maize, green",156.8971321124,455.0895399053,87.6859227668
"63","070990cb","Okra",36.4551141941,474.3788782274,65.3371338671
"64","070990_d","Peppermint",62.8781295922,206.1968376655,18.8501624236
"65","071010","Potatoes, frozen",65.8859430317,381.8361148546,126.6550119031
"66","071021","Peas, frozen",89.4314122378,545.7235126115,214.9644944591
"67","071022","Beans, frozen",76.4581001905,456.4842546334,268.6279762058
"68","071030","Spinach, frozen",39.023907785,337.9589814326,457.0474769333
"69","071040","Sweet corn, frozen",156.8971321124,455.0895399053,87.6859227668
"70","071090","Mixed vegetables, frozen",32.8298902629,204.5628027725,100.8409347936
"71","071220","Onions, dry",87.7689307993,192.2477337582,65.4337062822
"72","071310","Peas",33.1717382604,1452.9204110263,492.8543771549
"73","071320","Chickpeas or garbanzo beans",224.2421192817,2971.7365184963,981.3586438228
"74","071331","Mung beans",249.9558133366,2217.3693762428,650.1954655298
"75","071332","Red beans",124.8625395099,3944.7833894569,983.1684924425
"76","071333","Kidney beans",124.8625395099,3944.7833894569,983.1684924425
"77","07133_b","Cow peas",9.7680439299,6840.7242452149,55.4662473873
"78","071340","Lentils",489.3794501219,4324.3320355037,1059.9325276612
"79","071350","Broad beans",204.79722566,1316.568165578,496.4268959409
"80","071390aa","Pigeon peas",72.0020194497,4739.0779943199,683.0165688813
"81","071390ab","Lupins",20.6512530524,1350.3404227515,506.1707790117
"82","071390ac","Vetches",108.8938846416,2030.9269496947,213.0190602427
"83","071390ad","Bambara beans",70.5578347574,3162.3507418895,33.5961495983
"84","071390ae","Pulses",249.9558133366,2217.3693762428,650.1954655298
"85","071410","Cassava",0.257647964,549.987833988,13.2690828829
"86","071420","Sweet potatoes",5.3464306116,324.3249476318,53.1811418887
"87","071490_a","Yams",0.2590411641,341.2579916269,1.2261610953
"88","071490ba","Yautia (cocoyam)",22.4292984292,848.8532811957,10.8433167152
"89","071490_bb","Taro (coco yam)",3.3120223464,587.2329026319,15.131723509
"90","071490_bc","Other roots and tubers",15.2827870117,348.0976986521,21.8907258788
"91","080119","Coconuts",1.6474172711,2669.4704627804,15.9396685142
"92","080121","Brazil nuts, with shell",0,248.3828911856,8.4832679957
"93","080131_a","Cashew nuts",921.1005118752,12853.0872266462,444.1276316566
"94","080211","Almonds, with shell",1907.9843489872,4631.8347536124,1507.440521504
"95","080212","Almonds",3815.9686979743,9263.6695072249,3014.881043008
"96","080221","Hazelnuts, with shell",1089.9321110118,3813.4129019443,354.273997223
"97","080222","Hazelnuts",2179.8642220236,7626.8258038886,708.5479944461
"98","080231","Walnuts, with shell",1299.0509427957,2805.4848557802,813.8533737672
"99","080232","Walnuts",2451.0395147088,5293.3676524154,1535.5724033344
"100","080240","Chestnuts",173.7616582348,2431.9222610174,143.9753983439
"101","080250","Pistachios",7602.4948826523,3094.5595871335,666.1219749157
"102","080290","Other nuts",1156.0952183992,8378.6152818001,890.6735883744
"103","080290aa","Kolanuts",26.4752907979,23344.6619954924,19.4626248533
"104","080290ab","Arecanuts",138.7471719771,10620.5250250177,405.5014050527
"105","080300","Bananas",96.6339035387,659.7268952846,33.4217348596
"106","080300aa","Bananas",96.6339035387,659.7268952846,33.4217348596
"107","080300_b","Plantains",26.9528934453,1569.6176802207,5.9271019329
"108","080410","Dates",1249.8224337851,929.7025001509,97.6470548521
"109","080420","Figs",1544.2296463089,1504.4892847739,227.0026073152
"110","080430","Pineapples",8.9229643987,214.9712931002,30.6760576905
"111","080440","Avocados",237.3672285392,849.163968333,86.9627726679
"112","080450","Mangoes, mangosteens, guavas",361.8680640994,1313.9389680295,124.4147373438
"113","080450_b","Other tropical fruit",200.2602326715,1455.3963049379,171.8972257306
"114","080510","Oranges",109.5213418341,400.9158838997,49.2575210919
"115","080520","Tangerines, mandarins, clem.",117.7401924057,478.9045624614,151.7827484367
"116","080530","Lemons and limes",151.5202355841,432.0670536523,58.3783205012
"117","080540","Grapefruit (inc. pomelos)",85.1459557832,367.458920354,53.5532935573
"118","080590","Citrus fruit, nes",62.2548342772,1145.0592504103,35.041291748
"119","080610","Grapes",96.6244908738,424.8925615233,86.6991168796
"120","080711","Watermelons",24.9047327276,149.9927636322,63.4202401357
"121","080719","Other melons (inc.cantaloupes)",29.167359073,125.147743707,66.9112243646
"122","080720","Papayas",39.5024853589,399.0703340015,21.0151622989
"123","080810","Apples",133.3207514163,561.3469908554,126.9420040772
"124","080820","Pears",93.8427722679,644.8048809452,183.4222829608
"125","080910","Apricots",501.566307149,693.803358232,91.6326859605
"126","080920","Cherries",531.0865301345,960.9504017125,111.5546337116
"127","080920_b","Sour cherries",213.4674185911,1098.3348633057,98.7781058316
"128","080930","Peaches and nectarines",187.8602307889,582.5547316016,139.2232770488
"129","080940","Plums and sloes",187.8212338934,1570.4332218951,421.5015266156
"130","081010","Strawberries",109.3954669539,200.9751504309,36.6084436581
"131","081020","Raspberries",52.8847532882,292.5870364328,67.3260520401
"132","081030_a","Currants",19.1954412434,457.072159075,22.6879433607
"133","081030_b","Gooseberries",8.4740087034,486.9713050276,30.7925502391
"134","081040","Cranberries",107.7247870301,90.9294841793,76.9235834227
"135","081040_b","Other berries",175.4737507052,200.061818662,74.0158776611
"136","081040_c","Blueberries",333.7706054759,341.4530760367,170.1399877741
"137","081050","Kiwi fruit",168.4873392824,306.7134115844,38.4968338988
"138","081090","Other fresh fruit",201.4457494831,1198.5868727636,112.1240459294
"139","081090ac","Stone fruit",1048.9863274412,867.5037849408,135.9899460978
"140","081090ad","Cashewapple",33.9009457732,3637.8370005643,120.8858544118
"141","081110","Strawberries",109.3954669539,200.9751504309,36.6084436581
"142","081120","Raspberries",52.8847532882,292.5870364328,67.3260520401
"143","081210","Cherries",531.0865301345,960.9504017125,111.5546337116
"144","081310","Apricots, dried",1729.5389901688,2392.4253732138,315.9747791741
"145","081320","Prunes, dried",536.6320968382,4486.9520625574,1204.2900760446
"146","081330","Apples, dried",1111.0062618021,4677.8915904617,1057.8500339768
"147","081350","Trail mix",1048.9863274412,867.5037849408,135.9899460978
"148","090121","Coffee, not decaffeinated",138.666491595,18153.0001122571,632.9444505507
"149","090122","Coffee, decaffeinated",138.666491595,18153.0001122571,632.9444505507
"150","0902","Tea",898.2605252144,7231.9220859995,725.5716120394
"151","090210","Green teak",898.2605252144,7231.9220859995,725.5716120394
"152","090230","Black tea",898.2605252144,7231.9220859995,725.5716120394
"153","090411","Pepper (Piper spp.)",467.2109895835,6540.2563419567,604.0226340858
"154","090420","Chillies and peppers, dry",1125.3198910296,5869.029793522,371.0563535185
"155","090500","Vanilla",39048.0883725707,86391.8601392072,1064.8622580457
"156","090610","Cinnamon (canella)",40.991656716,14853.2223652301,631.7947594444
"157","090700","Cloves",30.2931106299,59833.5793250503,1341.2355453437
"158","0908","Nutmeg, mace and cardamoms",2623.123130778,30682.5949441246,1013.5783723148
"159","090910","Anise, badian, fennel, corian.",1865.1147661042,5369.4582695878,1045.6836295922
"160","090920","Coriander seeds",1865.1147661042,5369.4582695878,1045.6836295922
"161","091010","Ginger",39.5626604731,1525.0900207162,91.8750039491
"162","091030","Turmeric",39.5626604731,1525.0900207162,91.8750039491
"163","091050","Curry",39.5626604731,1525.0900207162,91.8750039491
"164","091099","Other spices",242.260019499,2734.9162164763,390.2625941555
"165","100190","Wheat",342.4551268697,1277.2112739948,207.4218466464
"166","100200","Rye",25.2721462949,1419.4273294865,99.2107858975
"167","100300","Barley",78.8743036185,1213.3221402093,131.2189684393
"168","100400","Oats",181.0401797209,1478.7050992936,128.1030769421
"169","1005","Maize",81.2263955986,947.1963480387,193.9309196774
"170","100700","Sorghum",103.0491753891,2857.39695618,87.1185720367
"171","100810","Buckwheat",144.3028873952,2768.8070994431,229.1389970468
"172","100820","Millet",57.1573075642,4305.7626494787,114.6316695658
"173","100830","Canary seed",2.2530321225,4872.2459180477,313.8613485566
"174","100890","Other cereals",115.4119609399,3316.3848335117,8.8766026501
"175","100890ac","Quinoa",47.5867237804,4183.9035446043,279.5349569264
"176","100890ad","Fonio",NA,4937.7738597483,12.7343275819
"177","100890ae","Triticale",38.1428084954,826.3563050689,88.7745708275
"178","100890af","Mixed grain",33.0244740013,1598.0774856416,28.4645987826
"179","110100","Wheat flower",346.5264656887,1292.3956278907,209.8878182435
"180","110100a","Bread",301.3273614684,1123.8222851223,182.5111462987
"181","110100b","Dry pasta",346.5264656887,1292.3956278907,209.8878182435
"182","110210","Rye flour",31.5901828687,1774.2841618581,124.0134823719
"183","110220","Corn flour",83.2890913441,971.2498329041,198.8556794181
"184","110230","Rice flour",535.396607237,1799.7144014366,293.0131800653
"185","110312","Oats, cut, oatmeal",256.8149124894,2097.6201043228,181.7208784549
"186","110313","Corn grits",71.8003305575,837.2772223952,171.4258528342
"187","110412","Oats, rolled or flaked, oatmeal",244.6739570245,1998.4548649604,173.1300023606
"188","120100","Soybeans",70.2940118996,2037.0420908011,37.3032684141
"189","120100a","Soy sauce",20.0840033999,582.0120259432,10.6580766897
"190","120100d","Soy milk",123.3228278941,3573.7580540371,65.444330551
"191","120100e","Soy burger, veggie burger",123.3228278941,3573.7580540371,65.444330551
"192","120210","Groundnuts in shell",149.8079247873,2468.5094607409,163.4721813645
"193","120300a","Coconut",0.7699529643,1247.6296880556,7.4497185615
"194","120400","Linseed",267.9888289534,4729.8669363714,169.8913876755
"195","120500","Rapeseed",231.3517869641,1703.3643793452,335.9627487632
"196","120600","Sunflower seed",148.0035002685,3017.4648594517,200.8305572211
"197","121291","Sugar beet",25.538561014,81.892379068,24.828193188
"198","121292","Sugar cane",57.2365929666,139.2683691941,13.0833586099
"199","121299ab","Other sugar",NA,979.5147167654,93.5414503667
"200","150790","Soybean oil",137.3382139698,3979.9083161073,72.8819442905
"201","150890","Groundnut oil",405.4538247127,6680.9990433957,442.4360143995
"202","150910","Olive oil, virgin",2388.3471390386,11826.1149020465,216.6663664214
"203","150990","Olive oil, refined",2437.0889173863,12067.4641857617,221.0881290015
"204","151000","Other vegetable oils",1062.3173378474,5260.159502976,96.371433539
"205","151190","Palm oil, refined",1.0574338171,4787.1887891788,182.4869039604
"206","151219","Sunflower and safflower oil",298.6316435315,6088.4403993279,405.222574233
"207","151319","Coconut oil",2.753144215,4461.1873935074,26.6381850722
"208","151329","Palm kernel oil",1.1489791796,5201.6307390181,198.2853676576
"209","151519","Linseed oil",488.2615054399,8617.5679781211,309.5331437198
"210","151529","Corn oil",171.1328005158,1995.611924961,408.5856715222
"211","151530","Castor oil",2937.6372339207,21057.6682321487,744.442923369
"212","151550","Sesame oil",1182.8983862815,19674.1262813517,936.0832644148
"213","160231","Turkey mean",313.3405478963,3545.3949498138,466.5495967919
"214","160239","Duck, goose, guinea fowl meat",313.3405478963,3545.3949498138,466.5495967919
"215","170111","Raw sugar, cane",454.9587427744,1107.0079274939,103.9962037557
"216","170112","Raw sugar, beet",166.9838258528,535.4531430908,162.3390873619
"217","170199","Refined sugar, solid",486.5868906678,1183.9656978545,111.2258863697
"218","170220","Maple syrup",486.5868906678,1183.9656978545,111.2258863697
"219","170390","Molasses",43.2165078922,138.578780706,42.0144191473
"220","180400","Cocoa butter, fat and oil",6.7649725611,33626.2834578427,305.1113143
"221","180500","Cocoa powder, no added sugar",3.1167794574,15492.4071850042,140.5718453487
"222","180500a","Chocolate",197.9203228658,16804.9745840056,192.6747757102
"223","180610","Cocoa powder, with added sugar",3.1167794574,15492.4071850042,140.5718453487
"224","200911","Orange juice",199.1297124255,728.9379707267,89.559129258
"225","200920","Grapefruit juice",113.5279410443,489.9452271386,71.4043914097
"226","200930","Citrus fruit juice",79.3296671925,1459.1183207762,44.6521791382
"227","200940","Pineapple juice",44.6148219933,1074.856465501,153.3802884527
"228","200950","Tomato juice",79.0604016486,134.8432582106,53.3429291949
"229","200960","Grape juice",128.8326544985,566.5234153644,115.5988225061
"230","200970","Apple juice",185.1677103004,779.6485984103,176.3083389961
"231","200980","Fruit and veg juice",79.3296671925,1459.1183207762,44.6521791382
"232","200990","Mixed juice",79.3296671925,1459.1183207762,44.6521791382
"233","220300","Beer",16.4957238562,253.7534539808,27.4430552001
"234","220410","Wine, sparkling",138.0349869626,606.9893736047,123.8558812566
"235","220421","Wine",112.3540591556,494.0611180504,100.8129266042
"236","240120","Tobacco",204.9003903179,2020.5631873234,699.8775411448
